,xochitl_num_interaction_share_x,xochitl_voting_intention_x,claudia_num_interaction_share_x,claudia_voting_intention_x,date,xochitl_voting_intention_y,claudia_voting_intention_y,maynez_voting_intention,maynez_num_interaction_share,maynez_like_count_share,maynez_comment_count_share,xochitl_num_interaction_share_y,xochitl_like_count_share,xochitl_comment_count_share,claudia_like_count_share,claudia_num_interaction_share_y,maynez_x_num_interaction_share,maynez_x_comment_count_share,maynez_x_like_count_share,maynez_youtube_num_interaction_share,maynez_youtube_like_count_share,maynez_youtube_comment_count_share,maynez_facebook_like_count_share,maynez_facebook_num_interaction_share,maynez_instagram_num_interaction_share,maynez_instagram_like_count_share,maynez_instagram_comment_count_share,xochitl_x_num_interaction_share,xochitl_x_comment_count_share,xochitl_youtube_num_interaction_share,xochitl_youtube_comment_count_share,xochitl_youtube_like_count_share,xochitl_facebook_num_interaction_share,xochitl_facebook_comment_count_share,xochitl_facebook_like_count_share,xochitl_instagram_like_count_share,xochitl_instagram_comment_count_share,xochitl_instagram_num_interaction_share,claudia_x_like_count_share,claudia_x_num_interaction_share,claudia_youtube_num_interaction_share,claudia_youtube_comment_count_share,claudia_youtube_like_count_share,claudia_facebook_num_interaction_share,claudia_facebook_comment_count_share,claudia_facebook_like_count_share,claudia_instagram_like_count_share,claudia_instagram_comment_count_share,claudia_instagram_num_interaction_share
0,40.10828098343207,29.0,48.93390234318655,64.7,2024-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,65.53291653562394,29.1,28.70795025542253,64.7,2024-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,65.29503703917771,29.1,29.444701326474583,64.7,2024-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,58.91167982996953,29.3,36.832195676314676,64.6,2024-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,56.93711903208166,29.4,39.15526449254471,64.6,2024-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,56.77776422857048,29.5,39.63161594701752,64.6,2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,54.6939856768679,29.5,41.90710487747764,64.6,2024-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,54.309347987336395,29.6,42.44889138978689,64.6,2024-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,54.28458834749538,29.8,42.600219718028,64.5,2024-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,54.96622878252777,29.9,42.10813364219219,64.5,2024-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
