date,claudia_num_interaction_share,claudia_like_count_share,claudia_comment_count_share,claudia_view_count_share,xochitl_num_interaction_share,xochitl_like_count_share,xochitl_comment_count_share,xochitl_view_count_share,maynez_num_interaction_share,maynez_like_count_share,maynez_comment_count_share,maynez_view_count_share,claudia_x_num_interaction_share,claudia_x_like_count_share,claudia_x_comment_count_share,claudia_x_view_count_share,xochitl_x_num_interaction_share,xochitl_x_like_count_share,xochitl_x_comment_count_share,xochitl_x_view_count_share,maynez_x_num_interaction_share,maynez_x_like_count_share,maynez_x_comment_count_share,maynez_x_view_count_share,claudia_facebook_num_interaction_share,claudia_facebook_like_count_share,claudia_facebook_comment_count_share,claudia_facebook_view_count_share,xochitl_facebook_num_interaction_share,xochitl_facebook_like_count_share,xochitl_facebook_comment_count_share,xochitl_facebook_view_count_share,maynez_facebook_num_interaction_share,maynez_facebook_like_count_share,maynez_facebook_comment_count_share,maynez_facebook_view_count_share,claudia_instagram_num_interaction_share,claudia_instagram_like_count_share,claudia_instagram_comment_count_share,claudia_instagram_view_count_share,xochitl_instagram_num_interaction_share,xochitl_instagram_like_count_share,xochitl_instagram_comment_count_share,xochitl_instagram_view_count_share,maynez_instagram_num_interaction_share,maynez_instagram_like_count_share,maynez_instagram_comment_count_share,maynez_instagram_view_count_share,claudia_youtube_num_interaction_share,claudia_youtube_like_count_share,claudia_youtube_comment_count_share,claudia_youtube_view_count_share,xochitl_youtube_num_interaction_share,xochitl_youtube_like_count_share,xochitl_youtube_comment_count_share,xochitl_youtube_view_count_share,maynez_youtube_num_interaction_share,maynez_youtube_like_count_share,maynez_youtube_comment_count_share,maynez_youtube_view_count_share,claudia_voting_intention,xochitl_voting_intention,maynez_voting_intention
2024-01-14,48.93390234318655,,,,40.10828098343207,,,,10.95781667338138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7,29.0,6.3
2024-01-15,28.70795025542253,,,,65.53291653562394,,,,5.759133208953526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7,29.1,6.3
2024-01-16,29.444701326474583,,,,65.29503703917771,,,,5.260261634347696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7,29.1,6.2
2024-01-19,36.832195676314676,,,,58.91167982996953,,,,4.256124493715792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,29.3,6.1
2024-01-22,39.15526449254471,,,,56.93711903208166,,,,3.9076164753736258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,29.4,6.0
2024-01-24,39.63161594701752,,,,56.77776422857048,,,,3.59061982441199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,29.5,5.9
2024-01-25,41.90710487747764,,,,54.6939856768679,,,,3.398909445654464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,29.5,5.9
2024-01-27,42.44889138978689,,,,54.309347987336395,,,,3.2417606228767175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,29.6,5.8
2024-01-29,42.600219718028,,,,54.28458834749538,,,,3.1151919344766186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,29.8,5.7
2024-01-31,42.10813364219219,,,,54.96622878252777,,,,2.925637575280031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,29.9,5.7
